data_dim,rho,seed,selected_epoch,selected_eval_w1,best_epoch,best_eval_w1
2,0.2,0,100.0,0.2978856323507658,100.0,0.2978856323507658
2,0.2,1,125.0,0.2624806695783508,125.0,0.2624806695783508
2,0.2,2,275.0,0.25248945235009823,275.0,0.25248945235009823
2,0.2,3,175.0,0.3011097026740515,175.0,0.3011097026740515
2,0.2,4,350.0,0.29885303718959055,350.0,0.29885303718959055
2,0.2,5,150.0,0.2911707376129472,150.0,0.2911707376129472
2,0.2,6,125.0,0.2763627739906231,125.0,0.2763627739906231
2,0.2,7,250.0,0.23029964645939405,250.0,0.23029964645939405
2,0.2,8,175.0,0.2889934100267536,175.0,0.2889934100267536
2,0.2,9,400.0,0.29601203097792333,400.0,0.29601203097792333
2,0.5,0,75.0,0.3285244761670858,75.0,0.3285244761670858
2,0.5,1,150.0,0.38056849126492776,150.0,0.38056849126492776
2,0.5,2,400.0,0.3239783336363648,400.0,0.3239783336363648
2,0.5,3,375.0,0.4164448281425818,375.0,0.4164448281425818
2,0.5,4,225.0,0.34687286432161524,225.0,0.34687286432161524
2,0.5,5,150.0,0.35721465722275897,150.0,0.35721465722275897
2,0.5,6,250.0,0.39046436944045765,250.0,0.39046436944045765
2,0.5,7,375.0,0.3563978221679578,375.0,0.3563978221679578
2,0.5,8,150.0,0.33054711993515273,150.0,0.33054711993515273
2,0.5,9,75.0,0.3227712097989888,75.0,0.3227712097989888
2,0.8,0,375.0,0.4842999037286428,375.0,0.4842999037286428
2,0.8,1,150.0,0.6057267133171715,150.0,0.6057267133171715
2,0.8,2,75.0,0.5371871826905079,75.0,0.5371871826905079
2,0.8,3,125.0,0.5762551466750204,125.0,0.5762551466750204
2,0.8,4,225.0,0.5530349774756683,225.0,0.5530349774756683
2,0.8,5,400.0,0.47372427853807875,400.0,0.47372427853807875
2,0.8,6,175.0,0.5716961555721409,175.0,0.5716961555721409
2,0.8,7,300.0,0.4689824968141716,300.0,0.4689824968141716
2,0.8,8,250.0,0.5632954864952986,250.0,0.5632954864952986
2,0.8,9,375.0,0.549577362848369,375.0,0.549577362848369
5,0.2,0,175.0,1.1147077589918477,175.0,1.1147077589918477
5,0.2,1,200.0,1.0743703219097775,200.0,1.0743703219097775
5,0.2,2,125.0,1.1355982941233582,125.0,1.1355982941233582
5,0.2,3,275.0,1.1458649678611772,275.0,1.1458649678611772
5,0.2,4,125.0,1.1136504977509587,125.0,1.1136504977509587
5,0.2,5,400.0,1.0535280759336136,400.0,1.0535280759336136
5,0.2,6,150.0,1.0643977021893622,150.0,1.0643977021893622
5,0.2,7,400.0,1.0963148146617232,400.0,1.0963148146617232
5,0.2,8,375.0,1.0685153972518593,375.0,1.0685153972518593
5,0.2,9,150.0,1.0877816190988379,150.0,1.0877816190988379
5,0.5,0,225.0,1.2660086660979257,225.0,1.2660086660979257
5,0.5,1,200.0,1.2042333313362665,200.0,1.2042333313362665
5,0.5,2,350.0,1.1563579476269523,350.0,1.1563579476269523
5,0.5,3,100.0,1.1955403875581183,100.0,1.1955403875581183
5,0.5,4,225.0,1.1292676820823424,225.0,1.1292676820823424
5,0.5,5,400.0,1.1591232751612266,400.0,1.1591232751612266
5,0.5,6,200.0,1.23181742961342,200.0,1.23181742961342
5,0.5,7,225.0,1.201175031612671,225.0,1.201175031612671
5,0.5,8,300.0,1.2217472251978994,300.0,1.2217472251978994
5,0.5,9,225.0,1.2940501618480784,225.0,1.2940501618480784
5,0.8,0,50.0,1.5260201566142522,50.0,1.5260201566142522
5,0.8,1,275.0,1.430698311214801,275.0,1.430698311214801
5,0.8,2,400.0,1.334432547239289,400.0,1.334432547239289
5,0.8,3,400.0,1.3560210671778656,400.0,1.3560210671778656
5,0.8,4,400.0,1.3086394861932558,400.0,1.3086394861932558
5,0.8,5,400.0,1.4343105096201774,400.0,1.4343105096201774
5,0.8,6,400.0,1.304949485399738,400.0,1.304949485399738
5,0.8,7,225.0,1.4536866419205356,225.0,1.4536866419205356
5,0.8,8,400.0,1.3922930680058236,400.0,1.3922930680058236
5,0.8,9,400.0,1.287705124185636,400.0,1.287705124185636
10,0.2,0,100.0,2.3172182841509357,100.0,2.3172182841509357
10,0.2,1,325.0,2.3984047316470507,325.0,2.3984047316470507
10,0.2,2,50.0,2.3307087768592796,50.0,2.3307087768592796
10,0.2,3,300.0,2.3179304578338837,300.0,2.3179304578338837
10,0.2,4,50.0,2.1898286438690255,50.0,2.1898286438690255
10,0.2,5,325.0,2.247844398205182,325.0,2.247844398205182
10,0.2,6,50.0,2.3389010315545566,50.0,2.3389010315545566
10,0.2,7,50.0,2.233635112792261,50.0,2.233635112792261
10,0.2,8,50.0,2.2798252333453632,50.0,2.2798252333453632
10,0.2,9,50.0,2.290085442654601,50.0,2.290085442654601
10,0.5,0,50.0,2.343629558794755,50.0,2.343629558794755
10,0.5,1,50.0,2.2617418521617854,50.0,2.2617418521617854
10,0.5,2,50.0,2.33139288733816,50.0,2.33139288733816
10,0.5,3,50.0,2.2821391639672086,50.0,2.2821391639672086
10,0.5,4,50.0,2.2249846413542533,50.0,2.2249846413542533
10,0.5,5,50.0,2.333157172592505,50.0,2.333157172592505
10,0.5,6,50.0,2.2811430920996862,50.0,2.2811430920996862
10,0.5,7,50.0,2.306005513450563,50.0,2.306005513450563
10,0.5,8,50.0,2.3935428959041762,50.0,2.3935428959041762
10,0.5,9,50.0,2.255780301265935,50.0,2.255780301265935
10,0.8,0,50.0,2.358186279274327,50.0,2.358186279274327
10,0.8,1,50.0,2.140986222807202,50.0,2.140986222807202
10,0.8,2,50.0,2.5181278571216468,50.0,2.5181278571216468
10,0.8,3,50.0,2.423266835189656,50.0,2.423266835189656
10,0.8,4,50.0,2.279466733220297,50.0,2.279466733220297
10,0.8,5,50.0,2.444743681366651,50.0,2.444743681366651
10,0.8,6,50.0,2.389565363419936,50.0,2.389565363419936
10,0.8,7,50.0,2.1978457058131626,50.0,2.1978457058131626
10,0.8,8,50.0,2.213435382514995,50.0,2.213435382514995
10,0.8,9,50.0,2.3434826790361725,50.0,2.3434826790361725
20,0.2,0,50.0,3.793167249150551,50.0,3.793167249150551
20,0.2,1,50.0,3.7469967699703806,50.0,3.7469967699703806
20,0.2,2,50.0,3.69679034343855,50.0,3.69679034343855
20,0.2,3,50.0,3.641960521670871,50.0,3.641960521670871
20,0.2,4,50.0,3.786189436841803,50.0,3.786189436841803
20,0.2,5,50.0,3.7857824102737716,50.0,3.7857824102737716
20,0.2,6,50.0,3.624087864505326,50.0,3.624087864505326
20,0.2,7,50.0,3.6858111047333413,50.0,3.6858111047333413
20,0.2,8,50.0,3.6363309702558677,50.0,3.6363309702558677
20,0.2,9,50.0,3.585933113063827,50.0,3.585933113063827
20,0.5,0,50.0,3.7876001742939787,50.0,3.7876001742939787
20,0.5,1,50.0,3.9012019054287794,50.0,3.9012019054287794
20,0.5,2,50.0,3.6412864904921918,50.0,3.6412864904921918
20,0.5,3,50.0,3.655492790611506,50.0,3.655492790611506
20,0.5,4,50.0,3.6641484452253352,50.0,3.6641484452253352
20,0.5,5,50.0,3.585534909703517,50.0,3.585534909703517
20,0.5,6,50.0,3.9308215744279775,50.0,3.9308215744279775
20,0.5,7,50.0,3.6835980025899064,50.0,3.6835980025899064
20,0.5,8,50.0,3.675876289798041,50.0,3.675876289798041
20,0.5,9,50.0,3.8274146742731117,50.0,3.8274146742731117
20,0.8,0,50.0,3.9107742872746427,50.0,3.9107742872746427
20,0.8,1,50.0,3.8360382413266625,50.0,3.8360382413266625
20,0.8,2,50.0,3.9210999694432838,50.0,3.9210999694432838
20,0.8,3,50.0,3.774875797799598,50.0,3.774875797799598
20,0.8,4,50.0,3.766757608155891,50.0,3.766757608155891
20,0.8,5,50.0,3.563171903101533,50.0,3.563171903101533
20,0.8,6,50.0,3.683305040185691,50.0,3.683305040185691
20,0.8,7,50.0,3.8039816481210833,50.0,3.8039816481210833
20,0.8,8,50.0,3.770959581200092,50.0,3.770959581200092
20,0.8,9,50.0,3.7536926533999124,50.0,3.7536926533999124
